Name,Status,Created,Finishing Date
Basic Pentesting,Done,"April 16, 2025 11:10 PM","April 17, 2025 → April 17, 2025"
OWASP Juice Shop,Done,"April 16, 2025 9:24 PM","April 17, 2025 → April 17, 2025"
Easy Peasy,Done,"April 11, 2025 2:03 PM","April 12, 2025"
Pickle Rick,Done,"April 11, 2025 1:00 PM","April 10, 2025"
Fowsniff CTF,Done,"April 11, 2025 11:27 AM","April 9, 2025"
Bypass Disable Functions,Done,"April 9, 2025 5:36 PM","April 8, 2025"
Mr Robot CTF,Done,"April 5, 2025 12:10 PM","April 5, 2025 12:00 AM (EDT) → 12:00 AM"
25 Days of Cyber Security,Not started,"April 2, 2025 10:38 PM",
Lookup,Done,"April 2, 2025 11:32 AM","April 2, 2025"
Hackfinity Battle Encore,In progress,"March 31, 2025 2:06 AM",
Robots,In progress,"March 29, 2025 3:41 AM",
RootMe,Done,"March 21, 2025 1:20 PM","March 13, 2025"
CTF,Done,"March 19, 2025 7:26 AM","March 5, 2025"
Year of the Dog,Done,"March 16, 2025 1:28 PM",
Rabbit Store,In progress,"March 15, 2025 3:26 AM",
Crypto Failures,Done,"March 8, 2025 10:45 PM",
SMOL,Done,"March 6, 2025 1:35 AM",
Metasploit,Done,"February 28, 2025 10:19 AM",
Advent of Cyber 2023,Done,"February 27, 2025 9:55 AM","April 5, 2025 12:00 AM (EDT) → 12:00 AM"
Crack the hash,Done,"February 23, 2025 10:07 AM",
Cheese CTF,Done,"February 21, 2025 12:20 AM",
"Phishing topic ",Not started,"February 20, 2025 11:34 PM",
Advent of Cyber '24 Side Quest,In progress,"February 16, 2025 7:58 AM",
